time,growth,interaction,celltype
0.0,0.024973297,0.96107876,obNBL
0.0,-0.011871882,0.68452203,scgnIN
0.0,-0.05964735,0.8767836,VLMC
0.0,-0.06592937,0.6288283,obNBL
0.0,0.07506541,1.1697717,VLMC
0.0,0.02837803,0.71881986,obNBL
0.0,-0.014143774,1.1056299,scgnIN
0.0,-0.023975868,0.42494032,VLMC
0.0,-0.08280361,0.43845084,obNBL
0.0,-0.09953132,0.752565,VLMC
0.0,0.07745241,1.2304159,VLMC
0.0,-0.03529261,0.6244408,VLMC
0.0,-0.0827973,0.5680007,VLMC
0.0,0.022972202,0.4749608,obNBL
0.0,-0.06160801,0.44826186,obNBL
0.0,0.03515937,0.24592845,VLMC
0.0,-0.058916993,0.65263,VLMC
0.0,0.04890605,0.24592845,MCG
0.0,-0.022569891,0.9646615,obNBL
0.0,-0.084914066,0.72687036,obNBL
0.0,-0.09368301,1.3211185,obNBL
0.0,-0.075200014,0.9253753,obNBL
0.0,-0.010745449,0.70387965,obNBL
0.0,0.020777987,0.49261042,nptxEX
0.0,-0.12020051,1.3509035,VLMC
0.0,0.04972177,0.7882599,scgnIN
0.0,-0.11499705,0.24592845,obNBL
0.0,-0.029507007,0.9991462,VLMC
0.0,-0.028645007,1.0368563,obNBL
0.0,-0.005971398,0.6328278,VLMC
0.0,-0.07598956,0.770704,obNBL
0.0,-0.10352375,0.75001055,MSN
0.0,0.018159917,0.9498187,obNBL
0.0,-0.023129867,0.8142242,obNBL
0.0,-0.040304646,0.6602985,obNBL
0.0,0.028282022,0.5141883,VLMC
0.0,0.052519985,0.40329254,VLMC
0.0,0.021610329,0.6215744,VLMC
0.0,0.041900888,1.7346443,VLMC
0.0,-0.023682466,0.48991895,nptxEX
0.0,-0.016890313,1.106423,obNBL
0.0,-0.03706775,0.78326726,scgnIN
0.0,0.021726737,0.7119286,VLMC
0.0,-0.00048894435,0.5626008,VLMC
0.0,-0.012809405,0.73326087,obNBL
0.0,-0.06498788,0.35266903,obNBL
0.0,-0.008378381,0.706579,scgnIN
0.0,0.06972728,0.24592845,VLMC
0.0,-0.014181433,0.3977871,nptxEX
0.0,0.035240576,0.8478878,obNBL
0.0,-0.024957316,0.62116337,scgnIN
0.0,-0.05579765,1.1356493,scgnIN
0.0,-0.00576354,0.24592845,obNBL
0.0,-0.03512153,1.0245296,scgnIN
0.0,0.036800213,0.9468019,VLMC
0.0,0.038234495,0.7888784,obNBL
0.0,-0.0960961,0.5654569,VLMC
0.0,0.037285216,0.24592845,VLMC
0.0,-0.030549383,0.64927644,obNBL
0.0,-0.06575819,0.9008337,nptxEX
0.0,-0.010332111,1.2578777,VLMC
0.0,-0.009138284,1.1774524,obNBL
0.0,0.052337416,0.60096425,scgnIN
0.0,-0.008919524,0.24592845,obNBL
0.0,0.03682529,0.24592845,VLMC
0.0,0.02630985,0.49034405,nptxEX
0.0,0.0020490382,0.90862596,MSN
0.0,-0.047099676,1.0773095,obNBL
0.0,-0.03209784,0.84263444,obNBL
0.0,0.06664063,0.6915875,VLMC
0.0,-0.10611704,1.0237043,obNBL
0.0,0.016091367,0.6799073,obNBL
0.0,-0.0466533,0.4674025,obNBL
0.0,-0.039607804,0.24592845,nptxEX
0.0,0.030890873,0.76765054,scgnIN
0.0,0.0596843,0.24592845,VLMC
0.0,-0.044739775,0.6242431,VLMC
0.0,-0.042103827,1.6101037,obNBL
0.0,-0.05258628,0.60564625,obNBL
0.0,-0.086524785,0.60621655,VLMC
0.0,-0.021148568,0.58510786,nptxEX
0.0,0.059895046,0.85065013,obNBL
0.0,0.023661485,0.6591926,MSN
0.0,-0.01897527,1.081242,obNBL
0.0,-0.04165234,0.92824525,obNBL
0.0,-0.07994954,0.5391458,obNBL
0.0,-0.0365363,0.86495227,obNBL
0.0,-0.0710864,0.6897544,VLMC
0.0,-0.010374604,0.67678666,scgnIN
0.0,-0.058643587,0.817804,obNBL
0.0,-0.025341682,0.24592845,nptxEX
0.0,-0.051706187,1.1625077,scgnIN
