timepoint,x,y,cos,celltype
1.0,0.2003281116485595,-0.2540774643421173,-0.9931888271166768,mpEX
1.0,0.6024729013442993,-0.3369440734386444,-0.9983606694083137,scgnIN
1.0,0.3031275570392608,-0.2750831544399261,-0.5250645123419289,mpIN
1.0,0.6011552810668945,-0.3531039953231811,-0.9958077471369,scgnIN
1.0,0.5670536160469055,-0.3331074118614197,0.4499674794932989,tlNBL
1.0,0.537771999835968,-0.3318726718425751,-0.802092478285081,VLMC
1.0,0.5000324249267578,-0.3269717693328857,0.8494203430539377,VLMC
1.0,0.436160683631897,-0.2946387529373169,0.33097133760146147,wntEGC
1.0,0.3605983257293701,-0.2760637402534485,-0.7755013518099515,mpEX
1.0,0.1423176378011703,-0.2534115612506866,0.9184318631519994,mpEX
1.0,0.6280865669250488,-0.3495410084724426,-0.9895077093014687,scgnIN
1.0,0.2103141397237777,-0.2697152197360992,-0.8405720027530029,mpIN
1.0,0.6678729057312012,-0.3418971002101898,0.6668683344800738,scgnIN
1.0,0.427379846572876,-0.3007743954658508,0.10362606843119143,wntEGC
1.0,0.6263366341590881,-0.3484125733375549,0.8498543144759023,scgnIN
1.0,0.2781723141670227,-0.2736867666244507,-0.8409349406998063,mpEX
1.0,0.1278426349163055,-0.2474428415298462,-0.8087787488175009,sstIN
1.0,0.6473621726036072,-0.3417123556137085,0.2035628776379618,scgnIN
1.0,0.3863201737403869,-0.2910535633563995,-0.8563681400472457,sstIN
1.0,0.5354181528091431,-0.32381272315979,0.8174554889966216,sfrpEGC
1.0,0.2643886804580688,-0.2849262058734894,-0.8896335530443193,mpEX
1.0,0.5140911340713501,-0.3286579251289367,0.9961775245262909,VLMC
1.0,0.3595552146434784,-0.2888638973236084,-0.9609176796406689,mpEX
1.0,0.5805286169052124,-0.3457455039024353,-0.8281935436191853,scgnIN
1.0,0.1842035055160522,-0.2469052672386169,0.5150618561465661,mpEX
1.0,0.244506150484085,-0.2560703456401825,-0.9986961801188264,mpEX
1.0,0.6059357523918152,-0.3330370187759399,-0.991181520982652,tlNBL
1.0,0.0815910398960113,-0.2529067695140838,0.6377829858725859,CMPN
1.0,0.649606466293335,-0.3487882614135742,0.8946957714030727,scgnIN
1.0,0.575556218624115,-0.3286672830581665,-0.4929079311800514,tlNBL
1.0,0.4861846566200256,-0.3438956141471863,0.9798708021227279,VLMC
1.0,0.4076445400714874,-0.2862640619277954,-0.9752208999313987,mpEX
1.0,0.6413484811782837,-0.3531713187694549,0.6069310091300494,VLMC
1.0,0.2640559077262878,-0.2745273113250732,-0.8798911065851287,mpEX
1.0,0.5561251640319824,-0.3543487787246704,0.5881076623145447,sfrpEGC
1.0,0.5946429967880249,-0.3296902477741241,-0.8367405988453972,scgnIN
1.0,0.6095710396766663,-0.3532686233520508,-0.26298189882307593,tlNBL
1.0,0.5404056310653687,-0.3262605667114258,0.7176125099006704,sfrpEGC
1.0,0.6833115220069885,-0.3601084351539612,-0.8086158940127524,scgnIN
1.0,0.6858406066894531,-0.3343554139137268,-0.9881078372644078,scgnIN
1.0,0.4968598783016205,-0.3480079770088196,0.9997886778431596,VLMC
1.0,0.6837970614433289,-0.3670810461044311,0.0603965083120123,obNBL
1.0,0.4429384469985962,-0.2891579866409302,-0.8660375838392413,wntEGC
1.0,0.4542195796966553,-0.3054039180278778,0.9581952979659744,wntEGC
1.0,0.6604541540145874,-0.3670074939727783,0.8349197587430478,MSN
1.0,0.6242903470993042,-0.3606835007667541,0.9246830993226,MSN
1.0,0.5406481623649597,-0.3387139439582824,0.6242077333227034,sfrpEGC
1.0,0.6483538150787354,-0.3480399250984192,0.9452550329446445,MSN
1.0,0.5670369863510132,-0.3458835482597351,-0.703082057101738,tlNBL
1.0,0.3574811518192291,-0.2865874469280243,-0.8321201279300604,mpEX
1.0,0.3120660483837127,-0.2793717980384826,0.7305371780663753,mpEX
1.0,0.6397292017936707,-0.3489148020744324,0.6065944568627646,obNBL
1.0,0.3812295496463775,-0.2954322099685669,-0.9278238155208475,mpEX
1.0,0.1806095093488693,-0.2886554598808288,0.9981170268751979,cckIN
1.0,0.1462702453136444,-0.2896642982959747,0.9618493218011962,mpIN
1.0,0.5492001175880432,-0.3384180665016174,0.6044194787500597,sfrpEGC
1.0,0.5204554796218872,-0.3275488913059234,0.9973169728658652,VLMC
1.0,0.1905266195535659,-0.2704483270645141,0.5920719809032627,mpEX
1.0,0.3321498334407806,-0.2873026132583618,0.9559161227682366,mpEX
1.0,0.6317742466926575,-0.3768648505210876,-0.9921583128860639,tlNBL
1.0,0.1489628106355667,-0.265413761138916,0.7579807003335605,mpEX
1.0,0.5159497857093811,-0.356514573097229,-0.997741655280953,VLMC
1.0,0.4301103949546814,-0.3290365934371948,0.7387048124701378,wntEGC
1.0,0.0575421564280986,-0.2646972239017486,-0.7463006389664875,MCG
1.0,0.495085209608078,-0.3397529125213623,-0.9847327310284597,VLMC
1.0,0.6996495127677917,-0.3639365136623382,-0.7805776777614869,obNBL
1.0,0.6665101647377014,-0.3620242476463318,0.9882315755017621,MCG
1.0,0.6050655245780945,-0.3688681721687317,-0.9960366282945661,tlNBL
1.0,0.5888853073120117,-0.3605890274047851,-0.868850961531179,tlNBL
1.0,0.3864181637763977,-0.3283773064613342,-0.9848717272424382,dpEX
1.0,0.2097681760787964,-0.2832890152931213,0.8304998443310877,mpEX
1.0,0.1276547908782959,-0.2824552655220032,0.7128334411631395,MCG
1.0,0.4257393777370453,-0.3055927753448486,-0.9901744213560073,wntEGC
1.0,0.0640110224485397,-0.2627762258052826,0.7890875065572494,VLMC
1.0,0.6311159729957581,-0.3759187757968902,-0.9661281062022367,MSN
1.0,0.6626119613647461,-0.3695127964019775,0.15788369179985004,VLMC
1.0,0.5528939366340637,-0.3480979800224304,0.40445782961510734,sfrpEGC
1.0,0.559567928314209,-0.3592353463172912,0.9998262448364997,tlNBL
1.0,0.6715081930160522,-0.3846732079982757,-0.8577670698147176,scgnIN
1.0,0.5432034730911255,-0.3434120416641235,0.3672628149183019,sfrpEGC
1.0,0.2511857748031616,-0.3006533980369568,0.9151262708009247,mpEX
1.0,0.6039209365844727,-0.3608034253120422,-0.9834925251362793,tlNBL
1.0,0.6274986267089844,-0.358119785785675,0.9955459678353602,MSN
1.0,0.3753348588943481,-0.3155567646026611,-0.9930778210289206,mpEX
1.0,0.6824636459350586,-0.368076354265213,0.9954199450064728,obNBL
1.0,0.5442744493484497,-0.3550357520580292,0.8349331793628231,sfrpEGC
1.0,0.4230959415435791,-0.3308554291725158,0.46963177723014854,wntEGC
1.0,0.64731764793396,-0.3755416870117187,-0.2838721452051855,VLMC
1.0,0.2708059549331665,-0.2925854325294494,-0.6735796338201464,mpEX
1.0,0.6154525876045227,-0.3656321763992309,-0.9998083234529248,scgnIN
1.0,0.4089774191379547,-0.3201419115066528,-0.880544876428317,mpEX
1.0,0.1808121353387832,-0.2806369066238403,-0.8126875336296505,mpEX
1.0,0.577103853225708,-0.3553723394870758,-0.1477116761263792,scgnIN
1.0,0.5056655406951904,-0.3534197807312011,0.998332584364389,VLMC
1.0,0.166155532002449,-0.271011084318161,0.684798811348041,mpEX
1.0,0.549490213394165,-0.359383225440979,0.8402396078872129,VLMC
