x,y,annotation,total_raw
-0.67945206,2.9166796,Brain,0.0001012284220473
-0.8621041,2.235964,Jaw and tooth,0.0010585365113058
0.27433667,3.4279776,Brain,0.0001012284220473
0.2679897,3.4057143,Brain,0.0001012284220473
-0.9279276,2.924821,Meninges,0.0016867009332845
-0.32486257,3.2314484,Brain,0.0001012284220473
-0.16791046,1.6342813,Heart,0.0007755651592048
-0.28536853,1.6553768,Heart,0.0007755651592048
0.95169395,2.0668752,Cartilage primordium,0.0006583575051392
0.95169395,2.0668752,Cartilage primordium,0.0006583575051392
-0.51688856,3.6260164,Cavity,0.0008112271263583
-0.5542694,0.6804375,Muscle,0.0004104398933796
0.1833964,1.8682871,Blood vessel,0.0006281517488686
0.4408371,1.5228673,Heart,0.0007755651592048
-0.102049164,1.751484,Heart,0.0007755651592048
0.3157872,2.7434616,Brain,0.0001012284220473
-0.09927308,1.2214215,Cavity,0.0008112271263583
-0.5014691,0.36644286,Dorsal root ganglion,0.0001379120494234
0.75417733,1.732615,Cartilage primordium,0.0006583575051392
0.0019300764,1.66806,Heart,0.0007755651592048
-0.9980096,2.8226736,Brain,0.0001012284220473
0.36507905,1.7929547,Cavity,0.0008112271263583
0.36507905,1.7929547,Cavity,0.0008112271263583
0.6436654,3.102094,Cavity,0.0008112271263583
-0.59016764,0.40493754,Dorsal root ganglion,0.0001379120494234
0.6676749,2.9467251,Meninges,0.0016867009332845
-0.83473366,1.9881622,Jaw and tooth,0.0010585365113058
-0.07996981,0.54518247,Cartilage primordium,0.0006583575051392
-0.24784948,1.054929,GI tract,0.0007179822187211
-0.90161246,0.7653144,Muscle,0.0004104398933796
-0.3306368,1.2497516,GI tract,0.0007179822187211
-0.3306368,1.2497516,GI tract,0.0007179822187211
0.016321586,1.4926126,Liver,5.878913334551151e-05
-0.13682455,0.2758224,Dorsal root ganglion,0.0001379120494234
-0.4810512,1.6164829,Connective tissue,0.0005295658000595
1.0521499,2.291535,Meninges,0.0016867009332845
-0.431315,1.5621884,Liver,5.878913334551151e-05
0.99486005,1.4745755,Connective tissue,0.0005295658000595
0.49774313,0.5118291,Epidermis,0.0011758541459524
-0.6188715,3.2064626,Brain,0.0001012284220473
-0.27097043,2.2665372,Muscle,0.0004104398933796
0.9236329,1.6709497,Cartilage primordium,0.0006583575051392
-0.7693811,2.951721,Brain,0.0001012284220473
-0.4694222,2.7894542,Brain,0.0001012284220473
-0.4694222,2.7894542,Brain,0.0001012284220473
1.0335933,2.0307417,Muscle,0.0004104398933796
-0.2811191,3.4843922,Brain,0.0001012284220473
0.48623797,0.41340423,Epidermis,0.0011758541459524
0.72868145,2.385942,Meninges,0.0016867009332845
0.72868145,2.385942,Meninges,0.0016867009332845
0.46918026,1.553938,Cavity,0.0008112271263583
0.17960455,0.40924907,Spinal cord,0.0001044471354073
0.6868851,0.82418394,Muscle,0.0004104398933796
-0.8868327,2.590007,Brain,0.0001012284220473
-0.12190363,1.5577716,Heart,0.0007755651592048
-0.6274898,1.4784024,Mesentery,0.0007333304561841
0.6527252,3.060208,Meninges,0.0016867009332845
0.91727537,1.739801,Cartilage primordium,0.0006583575051392
0.9132648,1.2937793,Spinal cord,0.0001044471354073
-0.46391743,2.2082856,Jaw and tooth,0.0010585365113058
-0.48303536,2.1909804,Jaw and tooth,0.0010585365113058
0.6679588,2.28158,Cartilage primordium,0.0006583575051392
0.6679588,2.28158,Cartilage primordium,0.0006583575051392
0.6467319,1.1166397,Connective tissue,0.0005295658000595
0.6467319,1.1166397,Connective tissue,0.0005295658000595
